Draw Number,Main 1,Main 2,Main 3,Main 4,Main 5,Main 6,Supp 1,Supp 2
4081,13,16,20,25,40,44,4,28
4079,2,7,9,16,33,43,20,34
4077,13,16,29,34,35,41,12,45
4075,1,11,17,18,34,42,19,43
4073,8,9,23,29,38,42,13,17
4071,6,9,16,32,37,44,11,12
4069,2,18,21,22,35,43,10,37
4067,22,26,27,29,32,38,30,42
4065,17,31,33,35,39,42,36,41
4063,15,19,24,28,35,41,23,30
4061,9,11,17,19,22,29,14,21
4059,3,17,29,32,34,38,12,28
4057,3,10,18,19,22,27,41,42
4055,3,15,19,22,25,44,1,42
4053,1,21,25,30,32,45,31,38
4051,4,11,16,17,19,26,15,25
4049,7,21,22,35,38,39,34,44
4047,10,14,16,18,31,43,4,35
4045,3,15,17,23,34,38,18,31
4043,23,24,29,39,40,41,5,37
4041,5,10,11,14,26,27,35,37
4039,11,19,22,33,36,39,7,18
4037,3,7,10,16,37,43,20,23
4035,10,19,26,27,31,33,9,43
4033,8,13,27,40,41,42,3,4
4031,3,7,28,33,34,40,1,38
4029,3,12,29,30,31,38,22,45
4027,8,11,15,16,23,29,7,25
4025,3,4,11,21,24,39,34,40
4023,17,19,24,36,38,44,2,39
4021,1,10,17,24,29,33,5,26
4019,10,17,19,24,36,38,22,40
4017,3,10,12,24,34,35,38,40
4015,11,17,18,20,37,41,15,36
4013,11,16,33,38,40,42,12,45
4011,1,13,19,31,37,39,5,33
4009,18,23,28,30,35,37,4,33
4007,1,9,31,34,39,40,17,37
4005,1,13,16,25,30,32,17,22
4003,10,16,20,22,30,38,14,42
4001,7,14,25,30,37,45,6,34
3999,11,22,28,31,32,34,14,21
3997,1,10,25,27,28,36,14,18
3995,1,2,10,12,21,42,13,40
3993,2,7,28,29,31,45,6,38
3991,18,21,26,39,41,43,33,35
3989,6,8,16,17,27,33,26,28
3987,4,12,20,33,34,36,10,23
3985,4,11,18,20,22,41,12,44
3983,14,29,32,33,40,43,12,24
3981,7,20,27,38,39,41,9,43
3979,1,8,10,14,23,36,7,15
3977,7,14,15,17,36,41,20,24
3975,4,9,10,11,32,33,23,29
3973,6,19,23,24,28,35,29,38
3971,1,6,9,37,38,39,11,45
3969,3,5,28,32,38,44,25,27
3967,11,13,23,27,35,38,5,8
3965,2,8,12,18,30,42,14,39
3963,5,16,18,22,36,41,1,7
3961,15,18,23,30,41,44,1,5
